Aws Albarghouthi
Jade Alglave
Domagoj Babic
Clark W. Barrett
Armin Biere
Roderick Bloem
Ahmed Bouajjani
Marius Bozga
Aaron Bradley
David Brumley
Tevfik Bultan
Krishnendu Chatterjee
Swarat Chaudhuri
Marsha Chechik
Hana Chockler
Byron Cook
Isil Dillig
Dino Distefano
Alastair Donaldson
Azadeh Farzan
Antonio Filieri
Jasmin Fisher
Indradeep Ghosh
Patrice Godefroid
Aarti Gupta
Arie Gurfinkel
University
Gerard Holzmann
Warren Hunt
Ranjit Jhala
Barbara Jobstmann
Joost-Pieter Katoen
Twente
P:Daniel Kroening
Marta Kwiatkowska
Akash Lal
Darko Marinov
Ken McMillan
Kedar S. Namjoshi
David Parker
P:Corina S. Pasareanu
Andr&eacute; Platzer
Zvonimir Rakamaric
Grigore Rosu
Philipp R&uuml;mmer
Mooly Sagiv
Sriram Sankaranarayanan
Koushik Sen
Natarajan Shankar
Natasha Sharygina
Sharon Shoham
Nishant Sinha
Fabio Somenzi
Manu Sridharan
Ofer Strichman
Zhendong Su
Cesare Tinelli
Emina Torlak
Tayssir Touili
Thomas Wahl
Georg Weissenbacher
Eran Yahav
