P:Swarat Chaudhuri
P:Azadeh Farzan
Rajeev Alur
Christel Baier
Clark Barrett
Roderick Bloem
Pavol Cerny
Adam Chlipala
Alessandro Cimatti
Loris D'Antoni
Constantin Enea
Javier Esparza
Kousha Etessami
Susanne Graf
Orna Grumberg
Franjo Ivancic
Somesh Jha
Ranjit Jhala
Joost-Pieter Katoen
Zachary Kincaid
Laura Kovacs
Viktor Kuncak
Marta Kwiatkowska
Shuvendu Lahiri
Akash Lal
Pete Manolios
Kenneth McMillan
David Monniaux
Kedar Namjoshi
David Parker
Corina Pasareneau
Ruzica Piskac
Andreas Podelski
Shaz Qadeer
Andrey Rybalchenko
Mooly Sagiv
Sriram Sankaranarayanan
Sanjit Seshia
Natasha Sharygina
Sharon Shoham
Fabio Somenzi
Serdar Tasiran
Mahesh Viswanathan
Bow-Yaw Wang
Thomas Wies
Lenore Zuck
