P:Shuvendu Lahiri
P:Chao Wang
Aws Albarghouthi
Jade Alglave
Christel Baier
Gogul Balakrishnan
Sorav Bansal
Gilles Barthe
Josh Berdine
Per Bjesse
Sam Blackshear
Roderick Bloem
Borzoo Bonakdarpour
Ahmed Bouajjani
Tevfik Bultan
Pavol Cerny
Sagar Chaki
Swarat Chaudhuri
Hana Chockler
Maria Christakis
Eva Darulova
Cristina David
Ankush Desai
Jyotirmoy Deshmukh
Cezara Dragoi
Kerstin Eder
Michael Emmi
Constantin Enea
Yu Feng
Lu Feng
Bernd Finkbeiner
Dana Fisman
Daniel Fremont
Malay Ganai
Ganesh Gopalakrishnan
Orna Grumberg
Arie Gurfinkel
Alan Hu
Laura Humphrey
Franjo Ivancic
Joxan Jaffar
Dejan Jovanovi&#263;
Zachary Kincaid
Laura Kovacs
Daniel Kroening
Ori Lahav
Akash Lal
Anthony Lin
Yang Liu
Francesco Logozzo
Ruben Martins
Anastasia Mavridou
Jedidiah McClurg
Ken McMillan
Kuldeep Meel
Sayan Mitra
Ruzica Piskac
Xiaokang Qiu
Mukund Raghothaman
Jan Reineke
Kristin Rozier
Philipp R&amp;uuml;mmer
Krishna Shankaranarayanana
Sriram Sankaranarayanan
Natarajan Shankar
Natasha Sharygina
Sharon Shoham
Alexandra Silva
Anna Slobodova
Fabio Somenzi
Fu Song
Aditya Thakur
Ashish Tiwari
Aaron Tomb
Ashutosh Trivedi
Caterina Urban
Niki Vazou
Margus Veanes
Yakir Vizel
Xinyu Wang
Georg Weissenbacher
Fei Xie
Jin Yang
Naijun Zhan
He Zhu
