P:Arie Gurfinkel
P:Vijay Ganesh
Aditya  Thakur
Ahmed Bouajjani
Aina  Niemetz
Akash Lal
Alan  Hu
Alessandro  Cimatti
Alexander Nadel
Alexandra Silva
Amir  Goharshady
Anastasia Mavridou
Andrew  Reynolds
Anna  Slobodova
Anthony Widjaja Lin
Azadeh  Farzan
B.  Srivathsan
Benjamin  Kaminski
Bernd Finkbeiner
Bettina Könighofer
Bor-Yuh Evan
Borzoo  Bonakdarpour
Caterina  Urban
Cezara  Dragoi
Christopher Hahn
Constantin  Enea
Corina  Pasareanu
Deepak  D’Souza
Dejan Jovanovi´c
Elizabeth Polgreen
Elvira  Albert
Erika Abraham
Eunsuk  Kang
Florin  Manea
Gagandeep Singh
Grigory Fedyukovich
Guy Amir
Hadar Frenkel
Hongce  Zhang
Technology, China
Ichiro  Hasuo
Isil  Dillig
Jana  Hofmann
Jianwen Li
Jingbo  Wang
Jorge A. Navas
Ken McMillan
Kristin Yvonne
Kshitij Bansal
Kuldeep Meel
Kumar Madhukar
Laura Kovacs
Liana Hadarean
Loris D’Antoni
Mathias Preiner
Matthias  Heizmann
Mihaela Sighireanu
Mirco Giacobbe
Naijun  Zhan
Natasha Sharygina
Nathalie  Sznajder
Nikolaj Bj&oslash;rner
Ning  Luo
Oded  Padon
Orna  Grumberg
Pascal  Fontaine
Peter Schrammel
Qirun Zhang
Ranjit  Jhala
Ravi  Mangal
Rayna Dimitrova
Rohit Dureja
Roland  Yap
Rose  Bohrer
Ruzica  Piskac
S.  Akshay
Sebastian Junges
Serdar  Tasiran
Sharon  Shoham
Shuvendu  Lahiri
Sorav Bansal
Sriram  Sankaranarayanan
Subhajit  Roy
Subodh  Sharma
Suguman Bansal
Supratik  Chakraborty
Temesghen Kahsai
Umang Mathur
Xujie Si
Yakir Vizel
Yann  Thierry-Mieg
Yu-Fang Chen
Zvonimir  Rakamaric
