P:Kelly Blincoe
P:Paolo Tonella
Rabe Abdalkareem
Bram Adams
Iftekhar Ahmed
Shaukat Ali
Chetan Arora
Alberto Bacchelli
Titus Barik
Gabriele Bavota
Jonathan Bell
Antonia Bertolino
&Aacute;rp&aacute;d Besz&eacute;des
Barbora Buhnova
Nimrod Busany
Joanna C. S. Santos
Haipeng Cai
Saikat Chakraborty
Oscar Chaparro
Preetha Chatterjee
Marsha Chechik
Junjie Chen
Sen Chen
Tao Chen
J&uuml;rgen Cito
Anthony Cleve
Maxime Cordy
Vittorio Cortellessa
James C. Davis
Giovanni Denaro
Massimiliano Di Penta
Xiaoning Du
Mahdi Fahmideh
Sarah Fakhoury
Chunrong Fang
Denae Ford
Thomas Fritz
Alessandro Garcia
Sepideh Ghanavati
Gouri Ginde (Deshpande)
Rahul Gopinath
Lars Grunske
Dan Hao
Mark Harman
Pinjia He
Vincent J. Hellendoorn
Fatemeh Hendijani Fard
Gunel Jahangirova
Yanjie Jiang
Gail Kaiser
Foutse Khomh
Moonzoo Kim
Yunho Kim
Jacob Kr&uuml;ger
Li Li
Yi Li
Yun Lin
Mario Linares-V&aacute;squez
Hui Liu
David Lo
Yiling Lou
Qinghua Lu
Linghui Luo
Michael Lyu
Lei Ma
Fernanda Madeiral
Martina Maggio
Nash Mahmoud
Sam Malek
Andrian Marcus
Leonardo Mariani
Darko Marinov
Zainab Masood
George Mathew
Shane McIntosh
Sergey Mechtaev
Dimitris Mitropoulos
Andr&eacute; N. Meyer
Sarah Nadi
Phuong T. Nguyen
Ali Ouni
Fabio Palomba
Rangeet Pan
Mike Papadakis
Dietmar Pfahl
Martin Pinzger
Denys Poshyvanyk
Chris Poskitt
Michael Pradel
Mukul Prasad
Akond Rahman
Ajitha Rajan
Gema Rodr&iacute;guez-P&eacute;rez
Nico Rosner
Sukyoung Ryu
Anita Sarma
Giuseppe Scanniello
Alexander Serebrenik
Francisco Servant
David C. Shepherd
Lin Shi
Jocelyn Simmonds
Ting Su
Mary S&aacute;nchez-Gord&oacute;n
Shin Hwei Tan
Xin Tan
Yiming Tang
Yutian Tang
Valerio Terragni
Nikolaos Tsantalis
Jason Tsay
Christos Tsigkanos
Gias Uddin
Bogdan Vasilescu
Melina Vidoni
Zhiyuan Wan
Junjie Wang
Shaohua Wang
Shuai Wang
Song Wang
Lili Wei
Shiyi Wei
Mairieli Wessel
Xin Xia
Zhenchang Xing
Xiwei (Sherry) Xu
Jason Minhui Xue
Tao Yue
Andreas Zeller
Chengyu Zhang
Lingming Zhang
Mingxue Zhang
Qirun Zhang
Tao Zhang
Yuxia Zhang
Hao Zhong
Shurui Zhou
Andrea Zisman
Ying Zou

