P:Abhik Roychoudhury
P:Margaret-Anne Storey
Claire Le Goues
Baishakhi Ray
Andy Zaidman
Dongmei Zhang
Marcel B&ouml;hme
Miryung Kim
Christoph Treude
Jane Cleland-Huang
Cristian Cadar
Shin Yoo
Antonia Bertolino
Foutse Khomh
Silvia Abrah&atilde;o
Aldeida Aleti
Saba Alimadadi
Dalal Alrajeh
Sven Apel
Venera Arnaoudova
Alberto Bacchelli
Maria Teresa Baldassarre
Sebastian Baltes
Muneera Bano
Ann Barcomb
S&eacute;bastien Bardin
Gabriele Bavota
Andrew Begel
Jonathan Bell
Moritz Beller
Alexandre Bergel
Dirk Beyer
Domenico Bianculli
Christian Bird
Sumon Biswas
Elizabeth Bjarnason
Eric Bodden
Amiangshu Bosu
Tevfik Bultan
Jos&eacute; Pablo Cambronero
Bruno Cartaxo
Gemma Catolino
Sang Kil Cha
Saikat Chakraborty
Oscar Chaparro
Preetha Chatterjee
Chunyang Chen
Junjie Chen
Shing-Chi Cheung
J&uuml;rgen Cito
Eleni Constantinou
Tayana Conte
Andreea Costea
Christoph Csallner
Marcelo d'Amorim
Meenakshi D'Souza
Fabiano Dalpiaz
Eva Darulova
Cristina David
Giovanni Denaro
Prem Devanbu
Tapajit Dey
Massimiliano Di Penta
Oscar Dieste
I&#351;&#305;l Dillig
Naipeng Dong
Zhen Dong
Matthew B Dwyer
Sarah Fakhoury
Lingling Fan
Robert Feldt
Jo&atilde;o F. Ferreira
Antonio Filieri
Bernd Fischer
Erik Fredericks
Xiang Gao
Marco Gerosa
Smita Ghaisas
Sepideh Ghanavati
Alex Groce
Lars Grunske
Wesley Assun&ccedil;&atilde;o
Muhammad Ali Gulzar
Jin L.C. Guo
Irit Hadar
Sonia Haiduc
Dan Hao
Mark Harman
Hideaki Hata
Pinjia He
Fei He
Vincent J. Hellendoorn
Kihong Heo
Reid Holmes
Yu Huang
Paola Inverardi
Reyhaneh Jabbarvand
Gunel Jahangirova
Pooyan Jamshidi
Ciera Jaspan
Jiajun Jiang
Lingxiao Jiang
Yu Jiang
Zhi Jin
Christian K&auml;stner
Gail Kaiser
Aditya Kanade
Eunsuk Kang
Amey Karkare
Maria Kechagia
Raffi Khatchadourian
Yunho Kim
Raghavan Komondoor
Patricia Lago
Shuvendu K. Lahiri
Michele Lanza
Casper Lassenius
Julia Lawall
Kevin Leach
Jonathan Lee
Caroline Lemieux
Valentina Lenarduzzi
Grace Lewis
Yi Li
Grischa Liebel
Bin Lin
Qingwei Lin
Johan Lin&aring;ker
Yang Liu
David Lo
Tamara Lopez
Jian-Guang Lou
Yiling Lou
Robyn Lutz
Walid Maalej
Sonal Mahajan
Rupak Majumdar
Sam Malek
Mika M&auml;ntyl&auml;
Shahar Maoz
Sabrina Marczak
Paul Marinescu
Darko Marinov
Ruben Martins
Umang Mathur
Sergey Mechtaev
Alexandra Mendes
Na Meng
Raffaela Mirandola
Anders M&oslash;ller
Sarah Nadi
Shiva Nejati
Nan Niu
Yannic Noller
Hakjoo Oh
Ipek Ozkaya
Hye-Young Paik
Mike Papadakis
Jihyeok Park
Xin Peng
Birgit Penzenstadler
Cecile Peraire
Justyna Petke
Thuan Pham
Lu&iacute;s Pina
Gustavo Pinto
Martin Pinzger
Mukul Prasad
Lutz Prechelt
Rafael Prikladnicki
Sebastian Proksch
Akond Rahman
Ajitha Rajan
Hridesh Rajan
Ayushi Rastogi
David Redmiles
Manuel Rigger
Martin P. Robillard
Gregorio Robles
Gema Rodr&iacute;guez-P&eacute;rez
Julia Rubin
Cindy Rubio-Gonz&aacute;lez
Sukyoung Ryu
Joanna C. S. Santos
Anita Sarma
Carolyn Seaman
Alexander Serebrenik
Weiyi Shang
Bonita Sharif
Tushar Sharma
Emad Shihab
Donghwan Shin
Janet Siegmund
Jonathan Sillito
Gagandeep Singh
Jeongju Sohn
Diomidis Spinellis
Paola Spoletini
Sruti Srinivasa Ragavan
Jan-Philipp Stegh&ouml;fer
Igor Steinmacher
Klaas-Jan Stol
Kathryn Stolee
Yulei Sui
Jun Sun
Charles Sutton
Shin Hwei Tan
Patanamon Thongtanunam
Jason Tsay
Eray T&uuml;z&uuml;n
Rachel Tzoref-Brill
Michael Vierhauser
Thomas Vogel
Tanja E. J. Vos
Chao Wang
Yanlin Wang
Mairieli Wessel
Michael Whalen
Emily Winter
Xin Xia
Tao Xie
Xiaoyuan Xie
Qi Xin
Yingfei Xiong
Chang Xu
Tuba Yavuz
Mansooreh Zahedi
Charles Zhang
Hongyu Zhang
Lingming Zhang
Qian Zhang
Tianyi Zhang
Yuxia Zhang
Hao Zhong
Minghui Zhou
Shurui Zhou
Andrea Zisman
Ying Zou
Jie M. Zhang
Zhenchang Xing

