P:Christel Baier
P:Cesare Tinelli
Erika &Aacute;brah&aacute;m
Nathalie Bertrand
Armin Biere
Patricia Bouyer
Alessandro Cimatti
Rance Cleaveland
Cindy Eisner
Uli Fahrenberg
Hubert Garavel
Patrice Godefroid
Susanne Graf
Orna Grumberg
Arie Gurfinkel
Klaus Havelund
Holger Hermanns
Reiner H&auml;hnle
Daniel Kroening
Kim G. Larsen
Tiziana Margaria-Steffen
Ken McMillan
Tobias Nipkow
David Parker
Corina S. Pasareanu
Ruzica Piskac
Jean-Fran&ccedil;ois Raskin
Philipp R&uuml;mmer
Sriram Sankaranarayanan
Scott A. Smolka
Bernhard Steffen
Helmut Veith
Willem Visser
Heike Wehrheim
Lenore Zuck
