P:Dana Fisman
P:Grigore Rosu
Parosh Aziz Abdulla
Luca Aceto
Timos Antonopoulos
Saddek Bensalem
Dirk Beyer
Nikolaj Bjørner
Jasmine Blanchette
Udi Boker
Hana Chockler
Rance Cleaveland
Alessandro Coglio
Pedro D'Argenio
Javier Esparza
Bernd Finkbeiner
Martin Fränzle
Susanne Graf
Radu Grosu
Arie Gurfinkel
Klaus Havelund
Holger Hermanns
Falk Howar
Swen Jacobs
Ranjit Jhala
Jan Křetínský
Viktor Kunčak
Kim G. Larsen
Daniel Neider
Dejan Ničković
Corina Pasareanu
Doron Peled
Anna Philippou
Kristin Yvonne Rozier
César Sánchez
Sven Schewe
Natasha Sharygina
Jan Strejček
Cesare Tinelli
Stavros Tripakis
Frits Vaandrager
Tomáš Vojnar
Christoph M. Wintersteiger
Lijun Zhang
Lingming Zhang
Lenore Zuck
