P:Sriram Sankaranarayanan
P:Natasha Sharygina
Christel Baier
Haniel Barbosa
Ezio Bartocci
Dirk Beyer
Armin Biere
Nikolaj Bjørner
Roderick Bloem
Ahmed Bouajjani
Hana Chockler
Alessandro Cimatti
Rance Cleaveland
Javier Esparza
Chuchu Fan
Grigory Fedyukovich
Bernd Finkbeiner
Martin Fränzle
Khalil Ghorbal
Laure Gonnord
Orna Grumberg
Kim Guldstrand Larsen
Arie Gurfinkel
Ranjit Jhala
Laura Kovacs
Alexander Kulikov
Bettina Könighofer
Wenchao Li
Sergio Mover
Peter Müller
Kedar Namjoshi
Aina Niemetz
Corina Pasareanu
Nir Piterman
Philipp Ruemmer
Krishna S.
Cesar Sanchez
Sharon Shoham
Fabio Somenzi
Cesare Tinelli
Stavros Tripakis
Frits Vaandrager
Yakir Vizel
Tomas Vojnar
Naijun Zhan
Lijun Zhang
Florian Zuleger
